name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Battlefield 1,PS4,2016,Shooter,Electronic Arts,1.1,2.15,0.21,0.61,4.08,88.0,31.0,8.4,809.0,EA DICE,M
Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,80.0,6.3,2996.0,Ubisoft Montreal,M
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.13,2.18,0.1,0.63,4.04,85.0,83.0,7.7,1653.0,Ubisoft Montreal,M
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,79.0,9.2,10179.0,CD Projekt Red Studio,M
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,40.0,4.9,2050.0,"Ubisoft, Ubisoft Montreal",M
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,89.0,7.6,2679.0,Rocksteady Studios,M
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.68,0.48,2.62,0.11,3.89,86.0,80.0,8.7,348.0,Capcom,T
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,51.0,6.7,364.0,Visual Concepts,E10+
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.35,1.7,0.15,0.6,3.8,80.0,64.0,7,2219.0,Massive Entertainment,M
Star Wars Battlefront (2015),XOne,2015,Shooter,Electronic Arts,2.04,1.28,0.02,0.32,3.66,,,,,,
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,59.0,4.1,1005.0,"Ubisoft, Ubisoft Montreal",M
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,86.0,8.2,3943.0,"Kojima Productions, Moby Dick Studio",M
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,86.0,6.8,1319.0,Ubisoft Quebec,M
Destiny,XOne,2014,Shooter,Activision,2.14,0.92,0.0,0.31,3.37,75.0,11.0,5.5,1735.0,"Bungie Software, Bungie",T
Monster Hunter X,3DS,2015,Action,Capcom,0.27,0.21,2.79,0.05,3.32,,,,,,
Yokai Watch 2 Ganso/Honke,3DS,2014,Role-Playing,Nintendo,0.09,0.0,3.18,0.01,3.28,,,,,,
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,2.61,0.33,0.0,0.34,3.28,82.0,74.0,7.5,563.0,"Splash Damage, The Coalition",M
FIFA 16,XOne,2015,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,45.0,4.4,459.0,EA Sports,E
Madden NFL 16,PS4,2015,Sports,Electronic Arts,2.34,0.3,0.0,0.6,3.24,83.0,37.0,5.9,180.0,EA Sports,E
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,1.91,1.0,0.03,0.29,3.23,85.0,69.0,7.2,1267.0,343 Industries,M
Super Mario Maker,WiiU,2015,Platform,Nintendo,1.18,0.89,0.94,0.2,3.21,88.0,85.0,8.7,691.0,Nintendo,E
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66.0,60.0,6.9,106.0,Nintendo,E
The Sims 4,PC,2014,Simulation,Electronic Arts,1.0,1.82,0.0,0.23,3.05,70.0,74.0,3.9,2057.0,Maxis,T
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84.0,85.0,8.1,1886.0,Monolith Productions,M
Titanfall,XOne,2014,Shooter,Electronic Arts,1.84,0.8,0.04,0.27,2.95,86.0,68.0,6.4,2658.0,Respawn Entertainment,M
FIFA 15,X360,2014,Sports,Electronic Arts,0.79,1.92,0.0,0.21,2.92,,,4.2,85.0,EA Sports,E
inFAMOUS: Second Son,PS4,2014,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80.0,90.0,7.9,2944.0,Sucker Punch,T
Mortal Kombat X,PS4,2015,Fighting,Warner Bros. Interactive Entertainment,1.5,0.8,0.0,0.48,2.78,83.0,81.0,7.7,836.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
Minecraft,XOne,2014,Misc,Microsoft Game Studios,1.61,0.9,0.0,0.25,2.76,,,,,,
FIFA 16,PS3,2015,Sports,Electronic Arts,0.41,1.84,0.05,0.4,2.71,,,3.2,58.0,EA Sports,E
Yokai Watch 2 Shinuchi,3DS,2014,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68,,,,,,
FIFA 17,XOne,2016,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,84.0,50.0,5.5,201.0,"EA Sports, EA Vancouver",E
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,100.0,8.6,6383.0,From Software,M
NBA 2K15,PS4,2014,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83.0,50.0,7,291.0,Visual Concepts,E
Need for Speed (2015),PS4,2015,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,,,,,,
Call of Duty: Infinite Warfare,XOne,2016,Shooter,Activision,1.46,0.74,0.0,0.22,2.42,78.0,17.0,3.1,290.0,Infinity Ward,M
Madden NFL 16,XOne,2015,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,84.0,23.0,6.1,124.0,EA Sports,E
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.47,0.17,2.34,89.0,82.0,9,478.0,GREZZO,E10+
NBA 2K16,XOne,2015,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34,86.0,14.0,6.2,115.0,Visual Concepts,E10+
Yokai Watch Busters,3DS,2015,Action,Level 5,0.0,0.0,2.29,0.0,2.29,,,,,,
Far Cry: Primal,PS4,2016,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76.0,91.0,6.3,635.0,Ubisoft Montreal,M
Battlefield 1,XOne,2016,Shooter,Electronic Arts,1.28,0.77,0.0,0.2,2.25,87.0,37.0,8.2,440.0,EA DICE,M
Tom Clancy's Rainbow Six: Siege,PS4,2015,Shooter,Ubisoft,0.55,1.19,0.14,0.33,2.21,73.0,40.0,7.3,480.0,Ubisoft Montreal,M
Madden NFL 15,PS4,2014,Sports,Electronic Arts,1.54,0.25,0.0,0.4,2.19,81.0,37.0,6.1,208.0,EA Sports,E
FIFA 15,XOne,2014,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,33.0,5.4,347.0,EA Sports,E
Tom Clancy's The Division,XOne,2016,Shooter,Ubisoft,1.29,0.68,0.0,0.2,2.16,80.0,33.0,6.9,614.0,Massive Entertainment,M
Overwatch,PS4,2016,Shooter,Activision,0.81,0.85,0.15,0.33,2.14,90.0,31.0,6.1,1358.0,Blizzard Entertainment,T
Battlefield: Hardline,PS4,2015,Shooter,Electronic Arts,0.71,0.94,0.14,0.32,2.1,73.0,46.0,5,845.0,Visceral Games,M
Dying Light,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.0,58.0,7.9,1287.0,Techland,M
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71.0,85.0,6.1,1571.0,Evolution Studios,E
Madden NFL 15,X360,2014,Sports,Electronic Arts,1.77,0.06,0.0,0.22,2.05,,,5.5,29.0,EA Sports,E
Just Dance 2015,Wii,2014,Misc,Ubisoft,0.99,0.85,0.0,0.17,2.01,,,8.4,5.0,Ubisoft,E10+
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89.0,43.0,7.4,1984.0,BioWare,M
Minecraft,PSV,2014,Misc,Sony Computer Entertainment Europe,0.18,0.64,0.9,0.24,1.96,,,,,,
Destiny: The Taken King,PS4,2015,Shooter,Activision,0.78,0.79,0.04,0.31,1.93,86.0,81.0,6,1079.0,Bungie,T
Destiny,X360,2014,Shooter,Activision,1.31,0.43,0.0,0.18,1.92,,,4.7,504.0,Bungie,T
LittleBigPlanet 3,PS4,2014,Platform,Sony Computer Entertainment,0.66,0.93,0.01,0.31,1.91,79.0,78.0,7.1,506.0,Sumo Digital,E
NBA 2K17,PS4,2016,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88.0,47.0,6.7,162.0,Visual Concepts,E
Just Cause 3,PS4,2015,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73.0,42.0,6.5,403.0,Avalanche Studios,M
Kirby: Triple Deluxe,3DS,2014,Platform,Nintendo,0.61,0.34,0.79,0.09,1.83,80.0,68.0,8.8,206.0,HAL Labs,E
Diablo III,PS4,2014,Role-Playing,Activision,0.51,0.98,0.06,0.28,1.82,,,,,Blizzard Entertainment,M
Mafia III,PS4,2016,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68.0,66.0,5.1,1147.0,Hangar 13,M
Forza Motorsport 6,XOne,2015,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87.0,85.0,7.9,863.0,Turn 10,E
The Evil Within,PS4,2014,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75.0,65.0,7.3,1223.0,Tango Gameworks,M
Madden NFL 17,PS4,2016,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75,82.0,35.0,4.9,83.0,EA Sports,E
The Elder Scrolls Online,PS4,2015,Role-Playing,Bethesda Softworks,0.67,0.79,0.0,0.29,1.75,,,,,,
Watch Dogs,PS3,2014,Action,Ubisoft,0.56,0.81,0.1,0.27,1.74,,,5.1,383.0,Ubisoft Montreal,M
The Order: 1886,PS4,2015,Shooter,Sony Computer Entertainment,0.61,0.78,0.06,0.27,1.74,63.0,94.0,6.6,3172.0,"Ready at Dawn, SCE Santa Monica",M
The Crew,PS4,2014,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,60.0,5.4,575.0,"Ubisoft Reflections, Ivory Tower",T
NBA 2K15,XOne,2014,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,9.0,6.3,101.0,Visual Concepts,E
Call of Duty: Black Ops 3,X360,2015,Shooter,Activision,1.14,0.4,0.0,0.16,1.71,,,,,,
No Man's Sky,PS4,2016,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,94.0,4.5,5096.0,Hello Games,T
Call of Duty: Black Ops 3,PS3,2015,Shooter,Activision,0.49,0.87,0.07,0.26,1.69,,,,,,
 Fire Emblem Fates,3DS,2015,Role-Playing,Nintendo,0.81,0.23,0.52,0.11,1.68,,,,,,
Until Dawn,PS4,2015,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,103.0,8.2,2161.0,SuperMassive Games,M
Dark Souls III,PS4,2016,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,69.0,8.8,1940.0,From Software,M
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.8,0.69,0.01,0.14,1.63,82.0,15.0,7.5,383.0,Ubisoft Montreal,M
NBA 2K15,X360,2014,Sports,Take-Two Interactive,1.35,0.11,0.0,0.17,1.63,,,3,40.0,Visual Concepts,E
Destiny,PS3,2014,Shooter,Activision,0.68,0.56,0.12,0.25,1.62,,,4.5,445.0,Bungie,T
Mario Party 10,WiiU,2015,Misc,Nintendo,0.69,0.53,0.24,0.12,1.58,66.0,66.0,6.5,279.0,"Nintendo, Nd Cube",E
Watch Dogs,XOne,2014,Action,Ubisoft,0.9,0.53,0.0,0.14,1.57,78.0,15.0,5.8,712.0,Ubisoft Montreal,M
FIFA 16,X360,2015,Sports,Electronic Arts,0.57,0.88,0.0,0.12,1.57,,,2.9,45.0,EA Sports,E
Madden NFL 15,XOne,2014,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57,80.0,19.0,6.4,138.0,EA Sports,E
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55,79.0,73.0,8.1,1116.0,MachineGames,M
Ratchet & Clank (2016),PS4,2016,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54,,,,,,
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.7,0.55,0.16,0.12,1.52,83.0,77.0,8.9,712.0,Retro Studios,E
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,16.0,6.6,694.0,Rocksteady Studios,M
Doom (2016),PS4,2016,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49,,,,,,
Madden NFL 15,PS3,2014,Sports,Electronic Arts,1.08,0.11,0.0,0.27,1.45,,,2.7,13.0,EA Sports,E
Tomb Raider (2013),PS4,2014,Action,Square Enix,0.47,0.65,0.06,0.22,1.4,,,,,,
Forza Horizon 2,XOne,2014,Racing,Microsoft Game Studios,0.5,0.78,0.01,0.11,1.4,86.0,85.0,8.2,977.0,Playground Games,E10+
Yoshi's New Island,3DS,2014,Platform,Nintendo,0.48,0.53,0.28,0.09,1.38,64.0,71.0,6.1,155.0,Arzest,E
Mortal Kombat X,XOne,2015,Fighting,Warner Bros. Interactive Entertainment,1.03,0.21,0.0,0.14,1.38,86.0,21.0,7.3,279.0,"Warner Bros. Interactive Entertainment, NetherRealm Studios",M
Rise of the Tomb Raider,XOne,2015,Adventure,Square Enix,0.55,0.7,0.02,0.11,1.38,86.0,102.0,8,1288.0,Crystal Dynamics,M
Titanfall,X360,2014,Shooter,Electronic Arts,0.87,0.34,0.02,0.13,1.36,83.0,21.0,5.9,371.0,Bluepoint Games,M
Middle-Earth: Shadow of Mordor,XOne,2014,Action,Warner Bros. Interactive Entertainment,0.73,0.5,0.01,0.12,1.35,87.0,12.0,8,585.0,Monolith Productions,M
Gears of War 4,XOne,2016,Shooter,Microsoft Game Studios,0.78,0.44,0.0,0.12,1.35,84.0,96.0,6.2,815.0,The Coalition,M
Tom Clancy's Rainbow Six: Siege,XOne,2015,Shooter,Ubisoft,0.77,0.45,0.0,0.12,1.34,74.0,24.0,6.9,252.0,Ubisoft Montreal,M
NBA 2K15,PS3,2014,Sports,Take-Two Interactive,0.87,0.21,0.02,0.24,1.34,,,3.5,22.0,Visual Concepts,E
Yokai Watch 3,3DS,2016,Action,Level 5,0.0,0.0,1.33,0.0,1.33,,,,,,
The Elder Scrolls V: Skyrim,PS4,2016,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33,,,,,,
The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.69,0.5,0.0,0.11,1.31,91.0,13.0,9.2,3963.0,CD Projekt Red Studio,M
Yoshi's Woolly World,WiiU,2015,Platform,Nintendo,0.62,0.47,0.11,0.1,1.3,78.0,83.0,8.5,376.0,Good-Feel,E
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0.0,0.11,1.3,78.0,22.0,6.1,402.0,Ubisoft Quebec,M
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.34,0.68,0.08,0.19,1.29,,,7.3,113.0,Ubisoft Montreal,M
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.3,0.01,0.12,1.29,74.0,26.0,7.8,387.0,Techland,M
Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.51,0.67,0.0,0.1,1.29,84.0,38.0,5.4,7512.0,Bethesda Game Studios,M
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72.0,53.0,7.5,292.0,Ubisoft Sofia,M
The Elder Scrolls Online,XOne,2015,Role-Playing,Bethesda Softworks,0.78,0.38,0.0,0.12,1.28,77.0,11.0,8.4,613.0,ZeniMax Media,M
The LEGO Movie Videogame,X360,2014,Action,Warner Bros. Interactive Entertainment,0.69,0.47,0.0,0.11,1.27,69.0,8.0,7.2,26.0,TT Games,E10+
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.33,0.4,0.15,1.27,91.0,69.0,8.1,1107.0,From Software,T
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27,75.0,70.0,6.2,1311.0,Kojima Productions,M
Watch Dogs,X360,2014,Action,Ubisoft,0.72,0.41,0.01,0.11,1.25,,,5,332.0,Ubisoft Montreal,M
Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.48,0.35,0.34,0.08,1.25,69.0,44.0,8.8,190.0,"Spike Chunsoft Co. Ltd., Spike Chunsoft",E
Madden NFL 17,XOne,2016,Sports,Electronic Arts,1.08,0.02,0.0,0.13,1.23,83.0,30.0,5.9,39.0,EA Sports,E
Kingdom Hearts II,PS3,2014,Role-Playing,Square Enix,0.52,0.35,0.18,0.18,1.23,,,,,,
Hyrule Warriors,WiiU,2014,Action,Nintendo,0.58,0.42,0.13,0.1,1.23,76.0,81.0,8.3,662.0,Omega Force,T
WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21,73.0,47.0,7.4,237.0,Yuke's,T
Battlefield: Hardline,XOne,2015,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.21,71.0,27.0,5.1,299.0,Visceral Games,M
Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.04,0.0,0.07,1.2,,,,,,
Captain Toad: Treasure Tracker,WiiU,2014,Puzzle,Nintendo,0.53,0.38,0.19,0.09,1.19,81.0,78.0,8.6,377.0,Nintendo EAD Tokyo,E
Destiny: The Taken King,XOne,2015,Shooter,Activision,0.85,0.23,0.0,0.12,1.19,89.0,11.0,5.2,393.0,"Bungie Software, Bungie",T
Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,0.18,1.17,,,,,,
Grand Theft Auto V,PC,2015,Action,Take-Two Interactive,0.39,0.69,0.0,0.09,1.17,96.0,57.0,7.9,3756.0,Rockstar North,M
WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15,62.0,44.0,5.1,164.0,Yuke's,T
Sunset Overdrive,XOne,2014,Shooter,Microsoft Game Studios,0.63,0.4,0.0,0.1,1.14,81.0,89.0,7.7,1137.0,Insomniac Games,M
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,2016,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14,79.0,60.0,8.2,201.0,CyberConnect2,T
Watch Dogs 2,PS4,2016,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13,83.0,88.0,7.8,621.0,Ubisoft Montreal,M
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79.0,50.0,8.1,795.0,Creative Assembly,M
The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.53,0.33,0.17,0.08,1.12,73.0,73.0,7.6,179.0,Nintendo,E
Dragon Ball: XenoVerse,PS4,2015,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11,69.0,50.0,7.7,598.0,Dimps Corporation,T
Project CARS,PS4,2015,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09,83.0,37.0,6.6,363.0,Slightly Mad Studios,E
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,91.0,90.0,7.4,594.0,Playground Games,E
Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08,,,,,,
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,69.0,6.0,7.3,121.0,PopCap,E10+
Overwatch,XOne,2016,Shooter,Activision,0.63,0.33,0.0,0.1,1.06,91.0,18.0,5.6,668.0,Blizzard Entertainment,T
EA Sports UFC,PS4,2014,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05,70.0,57.0,6.1,279.0,EA Sports,T
The Legend of Zelda: Twilight Princess HD,WiiU,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86.0,74.0,8.4,329.0,"Tantalus Interactive, Tantatus, Nintendo",T
NBA 2K17,XOne,2016,Sports,Take-Two Interactive,0.86,0.06,0.0,0.11,1.02,90.0,17.0,6.2,91.0,Visual Concepts,E
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.34,0.0,0.09,1.01,72.0,32.0,7.3,318.0,Ubisoft,M
Rayman Legends,PS4,2014,Platform,Ubisoft,0.22,0.64,0.0,0.16,1.01,90.0,16.0,8.5,525.0,Ubisoft Montpellier,E10+
Pokken Tournament,WiiU,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,76.0,74.0,8,273.0,Bandai Namco Games,E10+
Final Fantasy Type-0,PS4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98,,,,,,
Madden NFL 16,X360,2015,Sports,Electronic Arts,0.85,0.02,0.0,0.1,0.97,,,5.1,12.0,EA Sports,E
Evolve,PS4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76.0,46.0,4.3,894.0,Turtle Rock Studios,M
Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,Disney Interactive Studios,0.46,0.33,0.0,0.16,0.95,,,,,,
Just Dance 2016,Wii,2015,Misc,Ubisoft,0.41,0.46,0.0,0.08,0.95,,,tbd,,Ubisoft,E10+
Skylanders: Trap Team,Wii,2014,Action,Activision,0.41,0.46,0.0,0.08,0.95,,,tbd,,Toys for Bob,E10+
NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.79,0.05,0.0,0.1,0.94,,,3.2,24.0,Visual Concepts,E
Rise of the Tomb Raider,PS4,2016,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94,,,,,,
EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0,EA Sports,T
Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.09,0.93,85.0,28.0,6.9,703.0,BioWare,M
Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81.0,71.0,8.7,87.0,HAL Labs,E
Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,TT Games,E10+
The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93,80.0,5.0,6.8,12.0,TT Games,E10+
MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,44.0,7.8,190.0,SCEA San Diego Studios,E
South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,31.0,8.5,575.0,Obsidian Entertainment,M
South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.58,0.26,0.0,0.09,0.92,82.0,33.0,8.4,363.0,Obsidian Entertainment,M
